"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance","Run 3: Wavelength (nm)","Run 3: Absorbance","Run 4: Wavelength (nm)","Run 4: Absorbance","Run 5: Wavelength (nm)","Run 5: Absorbance","Run 6: Wavelength (nm)","Run 6: Absorbance","Run 7: Wavelength (nm)","Run 7: Absorbance","Run 8: Wavelength (nm)","Run 8: Absorbance","Run 9: Wavelength (nm)","Run 9: Absorbance","Run 10: Wavelength (nm)","Run 10: Absorbance"
397.4,1.71746808376,397.4,0.157467532518,397.4,0.119091037723,397.4,0.11817624278,397.4,0.0993473042758,397.4,0.0671611230723,397.4,0.883107534677,397.4,1.8930409375,397.4,1.8927263749,397.4,0.317303776845,397.4,0.869377881814
398.2,1.73148529043,398.2,0.160047207303,398.2,0.121571979557,398.2,0.121440900816,398.2,0.101421937805,398.2,0.0681071612647,398.2,0.894451692198,398.2,1.92071624224,398.2,1.94000585218,398.2,0.322290819917,398.2,0.877640639686
399.1,1.73447460273,399.1,0.162304826932,399.1,0.123594124184,399.1,0.123408172179,399.1,0.102663554867,399.1,0.0683904652549,399.1,0.904447435435,399.1,1.90932132596,399.1,1.9565616972,399.1,0.325889570314,399.1,0.886715147719
399.9,1.74929295449,399.9,0.16425743669,399.9,0.126717001856,399.9,0.125723017659,399.9,0.103966838281,399.9,0.0691060146846,399.9,0.915417081467,399.9,1.93324358923,399.9,1.9818795738,399.9,0.330626441954,399.9,0.898111373024
400.8,1.73496192358,400.8,0.167248710217,400.8,0.130481767353,400.8,0.127442275183,400.8,0.105722653415,400.8,0.0702260858053,400.8,0.925034999404,400.8,1.93921053279,400.8,1.97629800638,400.8,0.334601981305,400.8,0.906555253222
401.6,1.73338850716,401.6,0.16921249031,401.6,0.134467293799,401.6,0.128043435851,401.6,0.107256980964,401.6,0.0705900082523,401.6,0.933960076399,401.6,1.95405944432,401.6,1.99139922794,401.6,0.338927724446,401.6,0.918360410161
402.5,1.72513420174,402.5,0.171848787963,402.5,0.138403001284,402.5,0.127725367801,402.5,0.10797726922,402.5,0.0714032768576,402.5,0.944857783166,402.5,1.97046430671,402.5,1.99133630021,402.5,0.343052400133,402.5,0.927264693082
403.3,1.73371698694,403.3,0.174239112409,403.3,0.141489361592,403.3,0.126821209411,403.3,0.108462899195,403.3,0.0714999548861,403.3,0.954518086562,403.3,1.9742684189,403.3,2.00526480532,403.3,0.347873061908,403.3,0.938141421579
404.2,1.72520467447,404.2,0.177224334966,404.2,0.144571212917,404.2,0.127549035262,404.2,0.109893992029,404.2,0.0727899216147,404.2,0.965910986479,404.2,2.00098795495,404.2,2.00898824111,404.2,0.352377515888,404.2,0.947781140308
405,1.70985961915,405,0.18045422039,405,0.148063667141,405,0.127787369998,405,0.110996696575,405,0.0731859714173,405,0.975820850017,405,1.98015239835,405,2.00102100238,405,0.356708868503,405,0.96080695896
405.9,1.69293255798,405.9,0.184246422065,405.9,0.151093678618,405.9,0.12866215881,405.9,0.112583336293,405.9,0.0745777353131,405.9,0.987146021424,405.9,1.99982555195,405.9,2.00911974453,405.9,0.36130512569,405.9,0.975578057113
406.7,1.68737521851,406.7,0.187696923107,406.7,0.154162991662,406.7,0.129285430188,406.7,0.113279188517,406.7,0.0749667401145,406.7,1.00004230202,406.7,1.99357925935,406.7,2.01544054567,406.7,0.365714273355,406.7,0.989999901386
407.6,1.67663806784,407.6,0.19002364631,407.6,0.156703017423,407.6,0.129075301184,407.6,0.11474436672,407.6,0.0757093889226,407.6,1.01108606244,407.6,2.00790541498,407.6,2.01521364073,407.6,0.370741080397,407.6,1.00132175299
408.4,1.66628861045,408.4,0.191538526019,408.4,0.158711403706,408.4,0.129301708386,408.4,0.115584746083,408.4,0.0751273110765,408.4,1.02361407675,408.4,2.0024670281,408.4,2.01693035744,408.4,0.374727240849,408.4,1.01215008981
409.3,1.65099507639,409.3,0.193778042262,409.3,0.161434769766,409.3,0.129673677532,409.3,0.116130120441,409.3,0.0756600856254,409.3,1.0361512439,409.3,2.01250396335,409.3,2.02177397472,409.3,0.379365378497,409.3,1.02596752456
410.1,1.63369099982,410.1,0.196366664364,410.1,0.163653950894,410.1,0.131325947721,410.1,0.116573862534,410.1,0.0769682721291,410.1,1.05080924857,410.1,2.00919214702,410.1,2.02234632861,410.1,0.383777458211,410.1,1.0399584537
411,1.61512563787,411,0.198995237477,411,0.166138712498,411,0.132703511492,411,0.117429011688,411,0.0789058729381,411,1.06418524933,411,2.02315110112,411,2.01665291809,411,0.389781386978,411,1.05432369783
411.8,1.60238893076,411.8,0.201260311579,411.8,0.16790703103,411.8,0.133433843696,411.8,0.118721626826,411.8,0.0799568759768,411.8,1.07708749424,411.8,2.03139927514,411.8,2.01902649187,411.8,0.394742164524,411.8,1.06860305001
412.7,1.58677654945,412.7,0.203894388286,412.7,0.17008853265,412.7,0.134135955695,412.7,0.119983600108,412.7,0.0805247853045,412.7,1.09063886695,412.7,2.03786441316,412.7,2.03306460644,412.7,0.400735745986,412.7,1.08267009923
413.5,1.57696923021,413.5,0.206017859799,413.5,0.172504827719,413.5,0.134887637138,413.5,0.120473777491,413.5,0.0806630417908,413.5,1.10362160142,413.5,2.03123781724,413.5,2.04560040503,413.5,0.405065098886,413.5,1.09769011118
414.4,1.56011047324,414.4,0.208758244015,414.4,0.174699996272,414.4,0.136226591724,414.4,0.121193348985,414.4,0.0813540447578,414.4,1.11702272593,414.4,2.03616196192,414.4,2.03875545991,414.4,0.410628140087,414.4,1.11011222294
415.2,1.55110163434,415.2,0.209951994391,415.2,0.176312628664,415.2,0.137634284256,415.2,0.121690891917,415.2,0.0815647018518,415.2,1.12858575903,415.2,2.04255846244,415.2,2.04908574596,415.2,0.41434504296,415.2,1.1249925127
416.1,1.53440076995,416.1,0.21204630803,416.1,0.178751689264,416.1,0.138508935709,416.1,0.122438212423,416.1,0.0823112314549,416.1,1.14219779361,416.1,2.05350022352,416.1,2.03345226759,416.1,0.419487420442,416.1,1.13642482365
416.9,1.5169048892,416.9,0.213753691381,416.9,0.180359052176,416.9,0.138913258434,416.9,0.122494635121,416.9,0.0825140742665,416.9,1.15489689685,416.9,2.03888810145,416.9,2.03834200677,416.9,0.423821065953,416.9,1.14781881655
