Group,Trial,Time (s),Volume (mL),Initial (mL),Notes
1,1,30,18.9,18.4,
1,1,60,19.8,18.4,
1,1,90,19.8,18.4,
1,1,120,20,18.4,
1,1,150,20.2,18.4,
1,1,180,20.2,18.4,
1,1,210,20.5,18.4,
1,1,240,20.8,18.4,
3,1,60,25.0,23.5,
3,1,120,25.0,23.5,
3,1,180,26.1,23.5,
3,1,240,26.5,23.5,
3,1,300,27.9,23.5,
4,1,30,13.9,13.9,
4,1,60,13.9,13.9,
4,1,90,14,13.9,
4,1,120,14,13.9,
4,1,150,14,13.9,
4,1,180,14.5,13.9,
4,1,210,15.3,13.9,
4,1,240,16,13.9,
4,1,270,16,13.9,
4,1,300,16,13.9,
4,1,330,16,13.9,
4,1,360,17,13.9,
4,1,390,17.5,13.9,
4,1,420,17.6,13.9,
4,1,450,18.2,13.9,
4,1,480,19.1,13.9,
4,1,510,19.5,13.9,
4,1,540,20.4,13.9,
4,1,570,20.8,13.9,
4,1,600,21.5,13.9,
6,1,30,22.7,22.7,
6,1,60,22.7,22.7,
6,1,90,22.7,22.7,
6,1,120,22.7,22.7,
6,1,150,22.7,22.7,
6,1,180,22.7,22.7,
6,1,210,22.7,22.7,
6,1,240,22.7,22.7,
6,1,270,22.9,22.7,
6,1,300,22.9,22.7,
6,1,330,22.9,22.7,
6,1,360,22.9,22.7,
6,1,390,23.1,22.7,
6,1,420,23.1,22.7,
6,1,450,23.1,22.7,
7,1,30,7,15.5,
7,1,60,7.1,15.5,
7,1,90,7.1,15.5,
7,1,120,7.1,15.5,
7,1,150,7.1,15.5,
7,1,180,7.1,15.5,
7,1,210,7.1,15.5,
7,1,240,7.1,15.5,
7,1,270,8.1,15.5,
7,1,300,8.1,15.5,
7,1,330,8.2,15.5,
7,1,360,8.5,15.5,
7,1,390,10,15.5,
7,1,420,11.5,15.5,
7,1,450,12.6,15.5,
7,1,480,14.4,15.5,
7,1,510,15,15.5,
7,1,540,15.7,15.5,
7,1,570,16.5,15.5,
7,1,600,17.1,15.5,
