time,temp
0.0,20.2246982465
0.5,20.2879148137
1.0,20.3231894314
1.5,20.3819662039
2.0,20.4201616321
2.5,20.4745039239
3.0,20.5082767882
3.5,20.5625951311
4.0,20.5948856132
4.5,20.6491808212
5.0,20.6917265211
5.5,20.7386633992
6.0,20.775325526
6.5,20.8105151861
7.0,20.8574256944
7.5,20.9013949988
8.0,20.9409597519
8.5,20.9761224125
9.0,21.0215325521
9.5,21.0683978163
10.0,21.116717387
10.5,21.1518524302
11.0,21.1986907717
11.5,21.2484461173
12.0,21.3055053958
12.5,21.3376866053
13.0,21.3976491195
13.5,21.4502868697
14.0,21.513144921
14.5,21.5628353691
15.0,21.6256651254
15.5,21.6914006449
16.0,21.7468976597
16.5,21.8199022393
17.0,21.8899679224
17.5,21.9643930071
18.0,22.0242104852
18.5,22.0971415223
19.0,22.1919243544
19.5,22.2633559261
20.0,22.3435141222
20.5,22.4251083965
21.0,22.502312186
21.5,22.596971036
22.0,22.7279930308
22.5,22.8196789931
23.0,22.9098867802
23.5,23.0058903199
24.0,23.0989617072
24.5,23.1949187283
25.0,23.2893999933
25.5,23.3809542019
26.0,23.4826589761
26.5,23.5814365155
27.0,23.6874547061
27.5,23.7905470835
28.0,23.8979743501
28.5,23.9937706033
29.0,24.1142198787
29.5,24.218687533
30.0,24.3173366926
30.5,24.429026232
31.0,24.5421501054
31.5,24.6610591225
32.0,24.7727039595
32.5,24.8712894818
33.0,24.9814634348
33.5,25.1032239746
34.0,25.2278736592
34.5,25.3365729801
35.0,25.4510641171
35.5,25.5698985305
36.0,25.7713312183
36.5,25.8887118099
37.0,26.0002967987
37.5,26.1220284784
38.0,26.249561568
38.5,26.3684051587
39.0,26.4887055035
39.5,26.6191619616
40.0,26.7351338487
40.5,26.8467675862
41.0,26.9642133166
41.5,27.0976262715
42.0,27.2165554597
42.5,27.3326014799
43.0,27.4631757436
43.5,27.5676536032
44.0,27.6866636711
44.5,27.8216679319
45.0,27.9378272818
45.5,28.0496553306
46.0,28.1658673254
46.5,28.2835614453
47.0,28.4027402878
47.5,28.5234065752
48.0,28.6833812234
48.5,28.7924928195
49.0,28.9045475069
49.5,29.0151813968
50.0,29.1462411676
50.5,29.2584110833
51.0,29.3618751504
51.5,29.4755794587
52.0,29.5820336859
52.5,29.7118725183
53.0,29.8067359111
53.5,29.9220750214
54.0,30.0316196261
54.5,30.1368252125
55.0,30.2566950637
55.5,30.3649194102
56.0,30.4629474998
56.5,30.5668717002
57.0,30.6737712577
57.5,30.790978541
58.0,30.8862543838
58.5,31.0006397378
59.0,31.0974745897
59.5,31.1958218254
60.0,31.303029104
60.5,31.4058833475
61.0,31.5102607081
61.5,31.6043945965
62.0,31.7059337822
62.5,31.8016359533
63.0,31.907701338
63.5,32.0020326661
64.0,32.0978878527
64.5,32.1996977643
65.0,32.2882756824
65.5,32.3828083039
66.0,32.4892195254
66.5,32.5809048363
67.0,32.6726403232
67.5,32.7644266873
68.0,32.8518196619
68.5,32.9540850741
69.0,33.0386147003
69.5,33.1291265097
70.0,33.2211760698
70.5,33.3073368139
71.0,33.4099019979
71.5,33.4887314682
72.0,33.5810001293
72.5,33.6673683681
73.0,33.7612402329
73.5,33.8462246567
74.0,33.9208141061
74.5,34.0103734591
75.0,34.0880379434
75.5,34.1836847874
76.0,34.271918313
76.5,34.3467373484
77.0,34.4380728986
77.5,34.5069902311
78.0,34.5984359997
78.5,34.7229648205
79.0,34.8025458457
79.5,34.8731589796
80.0,34.9498260359
80.5,35.0325583302
81.0,35.1168509655
81.5,35.1921605453
82.0,35.2599784664
82.5,35.3383926038
83.0,35.409310414
83.5,35.5014148216
84.0,35.576963059
84.5,35.6434852159
85.0,35.7221506285
85.5,35.7948116884
86.0,35.8553971825
86.5,35.9402701543
87.0,36.0115511818
87.5,36.0843947504
88.0,36.1466523192
88.5,36.2119837494
89.0,36.2819153109
89.5,36.3564558777
90.0,36.4203876986
90.5,36.4950217269
91.0,36.5559851711
91.5,36.6200335174
92.0,36.6886987767
92.5,36.7558804708
93.0,36.8139349294
93.5,36.8842537017
94.0,36.9484985436
94.5,37.0035967044
95.0,37.0633190246
95.5,37.1322718413
96.0,37.1859334427
96.5,37.2611064889
97.0,37.3148351547
97.5,37.3762738776
98.0,37.431600398
98.5,37.4838809236
99.0,37.5546564785
99.5,37.6070008668
100.0,37.6747813155
100.5,37.7348980045
101.0,37.8351736088
101.5,37.892299171
102.0,37.9510033411
